master_id,master_version,user_id
95df1ce7-4355-41ba-b115-0d2d81d1c3a2,0.13.7,d651a0cd-9c7f-4926-bb4c-a99dde13e936
d2abe1bb-a60b-4c7a-a0f6-83cd02e9e781,0.13.13,548e2cd8-7240-4674-9d10-88fa1d95c802
486a8cfd-420f-4c20-8aa5-4a02542ad130,0.13.13,4d23300b-69ca-4f33-83fc-d36d69ec23b8
ff2be3e1-dcae-4da3-a129-4249c6d348e3,0.13.8,90b37aea-7c08-4b11-8063-967d4eb56338
1e740a18-b011-4854-9fde-7d70775a5e3b,0.13.11,72931e20-3987-465a-8c26-193920a4114a
1eecff31-6268-41f1-9df4-0e3949529d83,0.13.13,151b71ab-e87e-4766-8d48-47a337f81bf8
3f2e327e-ab71-4cd0-a0fc-ecd8ff1a0eee,0.13.13,e2e7acb4-c4f9-47df-a6e4-7519babb58f2
9f0e8e8d-c761-420b-bc02-b021fec67c22,0.13.13,094660c8-ed3b-4460-b38d-c7e051e43580
76dfb3ab-25f5-46a9-976f-b3e2769e08e1,0.13.13,e9aa1dcc-64e1-4efe-a9ca-1cc5ba4a7c4a
9eaa966e-c500-4613-b1a4-fcda99d9825a,0.13.13,8b148ae1-d8c9-4929-b0a4-7f667728965b
8ff96aaf-da31-4af7-8ff5-6c9e3d062059,0.13.12,0abc9a2b-be01-439e-b80f-566f80220966
a0631945-2e61-40aa-90e8-744f1bbf8789,0.13.13,83bb9667-b5f3-4632-b5d2-0331293fa17c
b382c269-87ef-4864-a9b7-f806d8c86d6a,0.13.8,2e4e272b-e150-4f67-b8cc-7bc6a4729a93
49df3bd1-3262-42a7-9786-3c267a627f53,0.13.13,e2e7acb4-c4f9-47df-a6e4-7519babb58f2
9d69edc4-f4a4-477c-9914-59993f413156,0.13.8,9a355e07-7cb0-493a-b344-036bdca825fd
683d0ccc-ee9c-4069-aa42-1d38d95227ae,0.12.3,b883f659-44a3-45ad-8679-68d6b3a9f0e2
d186f63f-8cd2-41c1-a6b2-b1d50bbefb38,0.14.0rc2,9ddb0d04-a559-4c62-9bac-72f3f7e487c1
e6f8d157-f607-4c78-9c2d-a5ec2adf80e6,0.13.7,edfc9c22-3375-4571-98c3-0eeca7cb5a43
3a3d1b58-6613-4a6d-8447-3677598ee72e,0.13.13,5cfe9932-3ba3-4311-84c4-a8c2a55cc75b
55bacd6c-88b6-4a56-8379-bceba00d9caa,0.13.12,b726dc8c-e9d8-4de1-babc-41c2de95f577
c8d7b5dc-beba-4c7b-a40b-142d06462db9,0.13.12,b726dc8c-e9d8-4de1-babc-41c2de95f577
1711312e-c5ba-4dc8-9c7b-503438e68e38,0.13.12,0abc9a2b-be01-439e-b80f-566f80220966
2901217e-ef98-44f5-a1e7-7584ecbb33b1,0.13.10,e16cb7f9-6bd2-4469-b064-20cc1fd2b1f0
00d645b7-9b23-4afb-a484-0af70da1e1d9,0.13.11,72931e20-3987-465a-8c26-193920a4114a
cbac6ea6-ad46-4431-a12f-582c954299a5,0.13.13,f5ea22ac-66d2-442d-a767-ae0b7358261b
525d923a-37c3-4086-996b-74540b475c55,0.13.13,8b148ae1-d8c9-4929-b0a4-7f667728965b
ec8e3f2c-9c68-474e-acb3-f3d480769bcf,0.13.13,5cfe9932-3ba3-4311-84c4-a8c2a55cc75b
7bf611b5-9d8b-47e2-adca-c049ca31520c,0.14.0rc3,95638e69-5a42-44f9-9520-b587d4d8e353
4ec6f90d-ec3f-4ec6-982e-adacc7120c48,0.13.13,e2e7acb4-c4f9-47df-a6e4-7519babb58f2
e29c0577-e4d1-489f-ac73-b3ff5bc15c06,0.13.13,250d89ae-c54c-47d0-bac3-9e628db09ac7
fa1631e7-11b3-4106-97a7-834f716e28fa,0.13.10,f474f2f6-4718-4b71-8ea2-76b78f4b2cec
2e984486-275a-4595-b222-fc23e1fc7e09,0.14.0rc2,9ddb0d04-a559-4c62-9bac-72f3f7e487c1
10af089f-eec2-4d7b-9795-f0cb3e586332,0.14.0rc2,9ddb0d04-a559-4c62-9bac-72f3f7e487c1
087e878e-8eb0-4b36-834d-cbfb3a1c6d58,0.13.7,edfc9c22-3375-4571-98c3-0eeca7cb5a43
555d8126-447b-4cb3-bebb-fb8130d3481c,0.13.13,87ac89f1-e719-4acc-9a1d-0f2c80c781bd
e57817c0-4925-4775-accd-059cccbeacba,0.13.11,72931e20-3987-465a-8c26-193920a4114a
b61e75e1-1388-4a7f-abb7-589e7c4abe60,0.13.13,58375238-b88c-4319-89f0-3d2ace5a1832
7d4300cd-102c-46ff-a33c-2c7d791fe7d1,0.13.9,6c97a65a-0b6d-48f8-a46d-39aeb6f66ad9
7316a078-4479-4ef1-9c12-d8f07b54be59,0.13.12,60f30a54-09b8-4044-b5ae-08ff79d7ea87
